Objective,ID,Classification,Bucket,Core Tags,Supplementary Tags,Restrictions,Selection Count,Selection Frequency
"Open the ""Teleport Lapis"" chest in Mars Lighthouse",171,22,F,"Western Sea, Magma Ball, Grind, Pound, Collect_l, RareItem","Blaze, Teleport, Mars, Northern Reaches, RarePsy",194,3333,33.3%
"Sleep at four inns in the Western Sea (Contigo, Sh. Village, Loho, Prox)",98,10,D,"Western Sea, Whirlwind, Magma Ball, Exploration",,"226, 230",2844,28.4%
Get blown back by air vents in four different dungeons,260,25,F,"Whirlwind, Douse, Frost","Airs Rock, Aqua Rock, Kandorean, Taopo",,2831,28.3%
Say Hi to two Superbosses,157,19,E,"Teleport, Exploration","Grind, Lift, Sand, Burst, Mind Read, Turtle",,2809,28.1%
Use teleport in 3 different locations,156,19,E,"Teleport, Exploration","Western Sea, Sand, Turtle, Mind Read, Magma Ball",,2752,27.5%
Turn a molten rock to ice,190,22,F,"Growth, Whirlwind, Collect_l","Magma Rock, Gondowan, Western Sea, Lift, Blaze, Burst, Douse, Frost","170, 172",2563,25.6%
Bonk into a djinn on an ice puzzle,204,13,D,"Djinn_l, Parch","Magma Ball, Western Sea, Parch, Fun",114,2382,23.8%
Fall down three cliffs at least three times the height of Felix (without a screen transition).,274,20,E,"Douse, Whirlwind","Burst, Lift, Shaman's Rod",,2342,23.4%
Make it snow (Douse in a cold place),110,13,D,Douse,,,2128,21.3%
Elevate someone to a twice upgraded Item Class,182,12,C,"Class, Djinn_c, Collect_s",ClassItem,40,2058,20.6%
Get behind bars (Alhafran Jail),135,16,D,"Briggs, Burst","Osenia, Alhafra, Pound, Lash","7, 132, 134",2038,20.4%
Get pushed back by the face in Ankohl Ruins,224,16,D,"Sand, Whirlwind","Exploration, Angara, Ankohl","138, 147",1933,19.3%
Traverse both sides of Trial Road,285,13,D,"Whirlwind, Shamans Rod, Western Sea",,"125, 131, 199, 202, 250",1925,19.2%
Befriend 10 djinn that target your party,186,21,C,Djinn_c,,185,1924,19.2%
Befriend 10 djinn that target enemies,185,21,C,Djinn_c,,186,1908,19.1%
Give the Shaman's Rod to Moapa,131,16,D,"Collect_s, Whirlwind, Western Sea","Shaman Village, Hesperia","125, 199, 202, 250, 257, 285",1907,19.1%
Blow up three walls with Burst,270,20,E,Burst,,"106, 119, 121, 213",1869,18.7%
Solve both Sand Raising puzzles in Ankohl,138,16,D,"Whirlwind, Sand","Puzzle, Ankohl, Angara","147, 224",1869,18.7%
Fire an Arrow in Jupiter Lighthouse,191,24,F,"Western Sea, Cyclone, Hover, Collect_s, RareItem","Pound, Jupiter, Atteka","148, 192, 200, 255, 258, 95",1865,18.6%
Open the Airs Rock Frost chest,152,18,E,"Whirlwind, Frost, Collect_l","Airs Rock, Osenia","23, 24, 152",1863,18.6%
Use Frost on an Aqua Jelly puddle,207,10,D,"Western Sea, Frost, Battle",,14,1841,18.4%
"Fill two walkable areas with different substances (two of water, sand, or magma)",273,18,E,"Whirlwind, Douse, Parch","Frost, Burst, Growth, Lash",,1823,18.2%
Enter Djinn Check room in Anemos Inner Sanctum,97,10,D,"Western Sea, Exploration, Teleport","Teleport, Reveal, Atteka","234, 235, 251",1814,18.1%
Walk through a wall of ice,281,14,D,Parch,"Reveal, Burst","119, 121, 146, 213",1806,18.1%
Frost 3 water puddles in Daila,115,13,D,Frost,"Daila, Indra",,1798,18.0%
Climb the Lash rope in Kalt Island,208,10,D,"Western Sea, Lash, RopeClimb",Islands,,1785,17.8%
"Complete a ""Mirror Puzzle"" in Anemos Inner Sanctum",234,10,D,"Western Sea, Puzzle, Teleport",Atteka,"97, 235, 251",1755,17.5%
Complete the cracked tile light maze in Anemos Inner Sanctum,235,10,D,"Western Sea, Puzzle, Teleport",Atteka,"97, 234, 251",1736,17.4%
Force tiles or blocks to pop out of the ground,289,17,E,Pound,"Cyclone, Hover, Lash, Scoop","140, 165",1722,17.2%
Befriend the djinn in Islet Cave outside of the corridor,153,18,E,"Turtle, Mind Read, Djinn_l",Islands,,1705,17.1%
"Befriend Ether, Aroma or Ember",89,11,C,Djinn_s,,"77, 90, 91",1702,17.0%
"Befriend Dew, Balm or Quartz",93,11,C,Djinn_s,,"78, 94, 92",1697,17.0%
Mind Read an adept,136,16,D,Mind Read,,,1690,16.9%
"Befriend Flower, Crystal or Spritz",83,11,C,Djinn_s,,"75, 84, 85",1680,16.8%
"Befriend Shine, Fever or Fog",87,11,C,Djinn_s,,"76, 88, 86",1675,16.8%
Make Prox bright,137,16,D,"Western Sea, Magma Ball, Reveal","Prox, Northern Reaches",,1663,16.6%
Put someone into a tri-elemental class,184,12,C,Djinn_c,,"277, 278, 279, 280",1656,16.6%
"Befriend Vine, Mud or Zephyr",85,11,C,Djinn_s,,"75, 84, 83",1654,16.5%
Collect the Aqua Rock Tablet,133,16,D,"Collect_l, Douse","Frost, Parch, Apojii, Aqua Rock","116, 118, 229, 283",1652,16.5%
"Befriend Wheeze, Whorl or Bane",91,11,C,Djinn_s,,"77, 90, 89",1647,16.5%
"Befriend Lull, Kite, or Eddy",90,11,C,Djinn_s,,"77, 91, 89",1646,16.5%
Go down three different hidden ladders,269,13,D,Scoop,Cyclone,,1644,16.4%
See the shimmer of a revealed hidden item,104,13,D,"Reveal, Collect_l","Garoh, Osenia",,1642,16.4%
Use any Key,130,16,D,"Collect_s, RareItem, Reveal",,,1640,16.4%
"Befriend Spring, Fizz or Breath",94,11,C,Djinn_s,,"78, 93, 92",1631,16.3%
"Befriend Corona, Kindle or Iron",88,11,C,Djinn_s,,"76, 87, 86",1629,16.3%
Swing across 2 different metal chains,168,22,F,"Western Sea, Whirlwind, Exploration, Cyclone, Hover, RareItem, Reveal","Cyclone, Hover, Lift, Growth, Burst",26,1624,16.2%
"Befriend Char, Scorch or Squall",86,11,C,Djinn_s,,"76, 87, 88",1618,16.2%
"Befriend Mold, Meld or Reflux",84,11,C,Djinn_s,,"75, 85, 83",1600,16.0%
Collect the Hesperia Settlement Chest,159,19,E,"Western Sea, Growth, Collect_l",Hesperia,30,1596,16.0%
Collect the item from Atteka Cavern,120,14,D,"Parch, Western Sea, Collect_l",Atteka,"116, 117, 118, 119, 121",1595,16.0%
Clear the dirt on all four arrows behind Gabomba Statue,111,13,D,Scoop,"Lash, Kibombo, Gondowan",,1594,15.9%
Get at least 10 djinn of one element,183,21,C,Djinn_c,,"75, 76, 77, 78",1585,15.8%
Receive any 2 Animal Trading Quest rewards,149,18,E,"Collect_s, Mind Read",Islands,288,1581,15.8%
Go through one corridor in inner Islet Cave without Avoid active,256,18,E,"Battle, Mind Read, Turtle",,"198, 153",1573,15.7%
Ride geysers in three different areas,272,16,D,"Scoop, Whirlwind","Pound, Burst",,1565,15.7%
"Befriend Mist, Serac, or Fury",92,11,C,Djinn_s,,"78, 93, 94",1560,15.6%
Climb a vine made with Growth,253,19,E,Growth,"Exploration, Western Sea, Lemuria",,1554,15.5%
Get yeeted off of a wall by a stream of water,229,13,D,Douse,"Aqua Rock, Apojii","116, 118, 133",1550,15.5%
Collect both Lemurian Lucky Medals,141,17,E,"Grind, Scoop, Collect_l",Lemuria,"113, 123, 139, 173, 206",1438,14.4%
"Assemble the ""Trident"" (no need to collect it)",266,25,F,"Lash, Pound, Burst, Item_c, RareItem",,205,1420,14.2%
Defeat 3 Mad Plants,287,19,E,"Cyclone, Whirlwind",Dancing Idol,"128, 129",1406,14.1%
Obtain the Scoop item in Yampi Desert Cave,193,24,F,"Teleport, Burst, Scoop, Sand, Collect_l","Yampi, Osenia",196,1406,14.1%
